drugID,medication,adrID,n11,n10,n01,n00,relevance
1104,human insulin product,a0,38,319,692,6211,0
1141,human isophane insulin,a0,19,189,711,6341,0
7,human serum albumin,a0,121,665,609,5865,1
5,human serum albumin preparation,a0,121,665,609,5865,1
1234,hydralazine,a0,74,723,656,5807,1
1189,hydrochlorothiazide,a0,64,566,666,5964,2
1279,hydrocodone,a0,117,1189,613,5341,1
1166,hydrocortisone,a0,40,353,690,6177,0
1165,hydrocortisone preparation,a0,40,353,690,6177,0
1215,hydromorphone,a0,172,1475,558,5055,1
226,hydroxocobalamin,a0,0,1,730,6529,0
919,hydroxycarbamide,a0,2,25,728,6505,1
971,hydroxychloroquine,a0,8,67,722,6463,0
1119,hydroxyethyl starch,a0,7,99,723,6431,2
1012,hydroxypropyl methylcellulose,a0,29,222,701,6308,0
1013,hydroxypropyl methylcellulose product,a0,29,222,701,6308,0
920,hydroxyurea,a0,2,25,728,6505,1
1262,hydroxyzine,a0,24,393,706,6137,0
972,hyoscyamine,a0,22,162,708,6368,0
1014,hypromellose,a0,29,222,701,6308,0
527,ibandronate,a0,0,3,730,6527,1
1303,ibuprofen,a0,70,1055,660,5475,2
839,ibutilide,a0,0,11,730,6519,2
354,icatibant,a0,0,1,730,6529,0
395,idarubicin,a0,0,2,730,6528,2
368,ifosfamide,a0,5,21,725,6509,3
114,iloperidone,a0,1,0,729,6530,1
197,iloprost,a0,1,3,729,6527,2
581,imatinib,a0,1,7,729,6523,2
475,imipramine,a0,1,5,729,6525,0
141,imiquimod,a0,1,1,729,6529,0
180,immunoglobulins  intravenous,a0,11,53,719,6477,2
205,indapamide,a0,0,1,730,6529,0
893,indometacin (indomethacin?),a0,2,23,728,6507,2
889,indomethacin,a0,2,23,728,6507,2
770,infliximab,a0,0,8,730,6522,2
894,inositol,a0,2,23,728,6507,0
892,inositol preparation,a0,2,23,728,6507,0
1107,insulin  regular  human,a0,38,319,692,6211,0
870,insulin aspart,a0,233,1841,497,4689,1
872,insulin aspart human/rdna,a0,233,1841,497,4689,1
502,insulin aspart protamine,a0,0,3,730,6527,0
507,insulin aspart protamine,a0,0,3,730,6527,0
757,insulin detemir,a0,6,37,724,6493,0
756,insulin detemir product,a0,6,37,724,6493,0
723,insulin glargine,a0,97,715,633,5815,0
724,insulin glargine human/rdna,a0,97,715,633,5815,0
726,insulin glargine product,a0,97,715,633,5815,0
121,insulin glulisine,a0,2,3,728,6527,0
127,insulin glulisine human,a0,2,3,728,6527,0
126,insulin glulisine product,a0,2,3,728,6527,0
329,insulin lente human/rdna,a0,0,1,730,6529,0
358,insulin lente human/semisynthetic,a0,0,1,730,6529,0
924,insulin lispro,a0,26,183,704,6347,1
925,insulin lispro human/rdna,a0,26,183,704,6347,1
165,insulin lispro protamine,a0,1,2,729,6528,0
164,insulin lispro protamine/rdna,a0,1,2,729,6528,0
1137,insulin nph human/rdna,a0,19,189,711,6341,0
1140,insulin nph human/semisynthetic,a0,19,189,711,6341,0
1103,insulin regular human buffered,a0,38,319,692,6211,0
1105,insulin regular human/rdna,a0,38,319,692,6211,0
1102,insulin regular human/semisynthetic,a0,38,319,692,6211,0
101,interferon alfa 2-b,a0,2,2,728,6528,2
99,interferon alfa-2b,a0,2,2,728,6528,2
102,interferon alfa-2b recombinant,a0,2,2,728,6528,2
97,interferon alpha-2b,a0,2,2,728,6528,2
100,interferon alpha-2b preparation,a0,2,2,728,6528,2
531,interferon beta-1a,a0,0,3,730,6527,0
515,interferon beta-1a preparation,a0,0,3,730,6527,0
420,interferon beta-1b,a0,0,2,730,6528,0
446,interferon beta-1b preparation,a0,0,2,730,6528,0
181,intravenous immunoglobulin,a0,11,53,719,6477,2
468,inulin,a0,0,2,730,6528,0
245,iodine (as potassium iodide),a0,0,1,730,6529,0
369,ipratropium,a0,105,766,625,5764,1
599,irbesartan,a0,0,4,730,6526,2
516,iron (as ferrous fumarate),a0,0,3,730,6527,0
159,iron (as ferrous gluconate),a0,8,34,722,6496,0
1240,iron (as ferrous sulfate),a0,51,549,679,5981,0
858,iron (as polysaccharide complex),a0,0,12,730,6518,0
854,iron (as polysaccharide-iron complex),a0,0,12,730,6518,0
145,iron carbonyl,a0,1,1,729,6529,0
959,iron dextran,a0,0,19,730,6511,0
958,iron dextran complex,a0,0,19,730,6511,0
859,iron polysaccharide complex,a0,0,12,730,6518,0
816,iron sucrose,a0,9,59,721,6471,0
960,iron-dextran complex,a0,0,19,730,6511,0
1170,isoflurane,a0,79,661,651,5869,1
809,isometheptene,a0,0,10,730,6520,0
824,isoniazid,a0,1,15,729,6515,0
1139,isophane insulin  human,a0,19,189,711,6341,0
1138,isophane insulin human,a0,19,189,711,6341,0
331,isopropyl alcohol,a0,0,1,730,6529,0
1058,isoproterenol,a0,1,44,729,6486,0
761,isosorbide,a0,11,68,719,6462,0
94,isosorbide dinitrate,a0,4,9,726,6521,0
773,itraconazole,a0,0,8,730,6522,0
243,ivermectin,a0,0,1,730,6529,0
1040,kaolin,a0,31,244,699,6286,0
1041,kaolin product,a0,31,244,699,6286,0
311,kava,a0,0,1,730,6529,0
207,kava extract,a0,0,1,730,6529,0
352,kava preparation,a0,0,1,730,6529,0
1206,ketamine,a0,12,198,718,6332,0
758,ketoconazole,a0,4,26,726,6504,0
345,ketoprofen,a0,0,1,730,6529,2
1298,ketorolac,a0,67,904,663,5626,2
310,ketotifen,a0,0,1,730,6529,0
1042,labetalol,a0,44,342,686,6188,0
800,lacosamide,a0,1,14,729,6516,1
198,lactase,a0,1,3,729,6527,0
1293,lactate,a0,136,1452,594,5078,0
60,lactulose,a0,55,351,675,6179,0
637,lamivudine,a0,3,17,727,6513,1
1168,lamotrigine,a0,6,108,724,6422,2
1194,lanolin,a0,1,105,729,6425,0
1295,lansoprazole,a0,138,1473,592,5057,0
398,lapatinib,a0,0,2,730,6528,0
799,latanoprost,a0,4,29,726,6501,0
123,l-carnitine,a0,2,3,728,6527,4
122,l-carnitine product,a0,2,3,728,6527,4
249,lecithin,a0,0,1,730,6529,0
324,lecithin product,a0,0,1,730,6529,0
326,lecithins,a0,0,1,730,6529,0
788,leflunomide,a0,0,9,730,6521,0
190,lenalidomide,a0,2,6,728,6524,3
337,lente human insulin,a0,0,1,730,6529,0
928,letrozole,a0,0,16,730,6514,0
991,leucovorin,a0,8,70,722,6460,0
661,leuprolide,a0,0,5,730,6525,0
643,leuprorelin,a0,0,5,730,6525,0
1072,levalbuterol,a0,4,68,726,6462,0
1130,levetiracetam,a0,34,295,696,6235,0
124,levocarnitine,a0,2,3,728,6527,4
400,levocetirizine,a0,0,2,730,6528,1
974,levodopa,a0,0,21,730,6509,0
20,levofloxacin,a0,193,1414,537,5116,3
739,levonorgestrel,a0,0,7,730,6523,0
735,levonorgestrel preparation,a0,0,7,730,6523,0
1267,levothyroxine,a0,55,643,675,5887,0
587,l-glutamine,a0,0,4,730,6526,0
1289,lidocaine,a0,342,3157,388,3373,1
645,linaclotide,a0,0,5,730,6525,0
89,linezolid,a0,17,84,713,6446,2
846,linseed oil,a0,2,21,728,6509,0
704,liothyronine,a0,0,6,730,6524,0
1157,lipase,a0,10,129,720,6401,0
1158,lipase preparation,a0,10,129,720,6401,0
33,liposomal amphotericin b,a0,10,11,720,6519,5
1180,liquid paraffin product,a0,5,112,725,6418,0
125,liraglutide,a0,2,3,728,6527,2
692,lisdexamfetamine,a0,0,6,730,6524,1
1172,lisinopril,a0,131,1081,599,5449,2
926,lispro insulin,a0,26,183,704,6347,1
210,lithium (as citrate),a0,0,1,730,6529,1
986,lithium carbonate,a0,4,45,726,6485,1
284,lithium citrate,a0,0,1,730,6529,1
1031,loperamide,a0,34,264,696,6266,0
903,lopinavir,a0,0,14,730,6516,2
1280,loratadine,a0,30,521,700,6009,0
1282,lorazepam,a0,204,1964,526,4566,1
1167,losartan,a0,17,184,713,6346,1
744,loteprednol etabonate,a0,0,7,730,6523,0
90,lovastatin,a0,5,13,725,6517,1
615,loxapine,a0,0,4,730,6526,0
1015,lubiprostone,a0,0,28,730,6502,0
701,lurasidone,a0,0,6,730,6524,2
348,lutein,a0,0,1,730,6529,0
92,lymphocyte immune globulin,a0,6,18,724,6512,1
91,lymphocyte immunoglobulin,a0,6,18,724,6512,1
646,lysine,a0,0,5,730,6525,0
1313,macrogol 3350,a0,146,1908,584,4622,0
83,mafenide,a0,6,15,724,6515,1
1122,magnesia,a0,54,446,676,6084,0
1124,magnesium (as oxide),a0,54,446,676,6084,0
30,magnesium (as sulfate),a0,258,1969,472,4561,1
251,magnesium aspartate,a0,0,1,730,6529,0
372,magnesium carbonate,a0,1,4,729,6526,0
103,magnesium chloride,a0,55,362,675,6168,1
1222,magnesium citrate,a0,36,398,694,6132,0
107,magnesium glycinate,a0,1,0,729,6530,0
1315,magnesium hydroxide,a0,298,3282,432,3248,0
1123,magnesium oxide,a0,54,446,676,6084,0
31,magnesium sulfate,a0,258,1969,472,4561,1
1049,magnesium trisilicate,a0,8,85,722,6445,0
955,mannitol,a0,36,260,694,6270,2
448,maraviroc,a0,0,2,730,6528,2
1065,meclizine,a0,3,59,727,6471,0
544,mecobalamin,a0,0,3,730,6527,0
978,medroxyprogesterone,a0,4,43,726,6487,0
979,medroxyprogesterone preparation,a0,4,43,726,6487,0
923,megestrol,a0,4,36,726,6494,0
922,megestrol preparation,a0,4,36,726,6494,0
1212,melatonin,a0,13,208,717,6322,0
1213,melatonin preparation,a0,13,208,717,6322,0
1109,meloxicam,a0,3,70,727,6460,2
178,melphalan,a0,3,9,727,6521,1
578,memantine,a0,1,7,729,6523,2
382,menthol,a0,10,50,720,6480,0
1184,meperidine,a0,51,461,679,6069,1
98,mepivacaine,a0,2,2,728,6528,0
163,mercaptopurine,a0,1,2,729,6528,1
40,meropenem,a0,28,132,702,6398,3
1017,mesalamine,a0,4,51,726,6479,2
1018,mesalazine,a0,4,51,726,6479,2
50,mesna,a0,15,55,715,6475,1
830,metaxalone,a0,0,11,730,6519,0
1224,metformin,a0,50,509,680,6021,1
1069,methadone,a0,5,72,725,6458,1
652,methenamine,a0,0,5,730,6525,1
625,methimazole,a0,2,12,728,6518,0
1174,methocarbamol,a0,5,109,725,6421,1
461,methohexital,a0,0,2,730,6528,0
869,methotrexate,a0,17,115,713,6415,2
777,methscopolamine,a0,0,8,730,6522,0
383,methyl salicylate,a0,6,27,724,6503,0
695,methylcellulose,a0,0,6,730,6524,0
552,methylcobalamin,a0,0,3,730,6527,0
504,methyldopa,a0,0,3,730,6527,1
908,methylene blue,a0,2,24,728,6506,0
910,methylene blue product,a0,2,24,728,6506,0
907,methylene blue stain,a0,2,24,728,6506,0
687,methylergonovine,a0,0,6,730,6524,0
690,methylergonovine preparation,a0,0,6,730,6524,0
969,methylnaltrexone,a0,11,86,719,6444,1
1039,methylphenidate,a0,8,82,722,6448,0
68,methylprednisolone,a0,73,492,657,6038,1
69,methylprednisolone preparation,a0,73,492,657,6038,1
730,methyltestosterone,a0,0,7,730,6523,0
732,methyltestosterone preparation,a0,0,7,730,6523,0
1287,metoclopramide,a0,107,1178,623,5352,1
46,metolazone,a0,10,22,720,6508,4
13,metoprolol,a0,179,1274,551,5256,0
548,metoprolol succinate,a0,0,3,730,6527,0
1214,metronidazole,a0,58,551,672,5979,0
662,mexiletine,a0,0,5,730,6525,0
14,micafungin,a0,21,50,709,6480,5
935,miconazole,a0,0,17,730,6513,0
1281,midazolam,a0,275,2558,455,3972,0
1044,midodrine,a0,1,40,729,6490,1
568,milk thistle,a0,2,11,728,6519,0
642,milnacipran,a0,0,5,730,6525,2
58,milrinone,a0,10,30,720,6500,1
1181,mineral oil,a0,5,112,725,6418,0
802,minocycline,a0,1,14,729,6516,2
142,minoxidil,a0,1,1,729,6529,0
1176,mirtazapine,a0,14,172,716,6358,0
1133,misoprostol,a0,5,90,725,6440,0
616,mitoxantrone,a0,0,4,730,6526,3
988,modafinil,a0,5,51,725,6479,0
909,mometasone,a0,2,24,728,6506,0
834,monobasic sodium phosphate,a0,0,11,730,6519,2
1186,montelukast,a0,12,169,718,6361,0
1185,montelukast product,a0,12,169,718,6361,0
1263,morphine,a0,286,2542,444,3988,1
73,moxifloxacin,a0,6,13,724,6517,4
72,moxifloxacin product,a0,6,13,724,6517,4
1116,mupirocin,a0,6,91,724,6439,0
39,mycophenolate mofetil,a0,27,124,703,6406,4
897,mycophenolic acid,a0,8,58,722,6472,2
921,nabumetone,a0,1,20,729,6510,2
184,nadolol,a0,7,30,723,6500,1
797,nafcillin,a0,6,40,724,6490,0
1199,naloxone,a0,157,1338,573,5192,0
794,naltrexone,a0,0,9,730,6521,0
603,naphazoline,a0,0,4,730,6526,0
1228,naproxen,a0,17,262,713,6268,2
508,nateglinide,a0,0,3,730,6527,0
976,nebivolol,a0,4,43,726,6487,2
112,nefazodone,a0,1,0,729,6530,0
453,nelfinavir,a0,0,2,730,6528,0
1068,neomycin,a0,8,91,722,6439,2
1310,neostigmine,a0,54,986,676,5544,1
290,nepafenac,a0,0,1,730,6529,0
378,nevirapine,a0,1,4,729,6526,0
1037,niacin,a0,10,95,720,6435,0
449,niacin (as niacinamide),a0,0,2,730,6528,0
1036,niacin preparation,a0,10,95,720,6435,0
407,niacinamide,a0,0,2,730,6528,0
457,niacinamide preparation,a0,0,2,730,6528,0
1169,nicardipine,a0,31,288,699,6242,0
1296,nicotine,a0,40,687,690,5843,0
1297,nicotine agent,a0,40,687,690,5843,0
1038,nicotinic acid,a0,10,95,720,6435,0
961,nifedipine,a0,3,35,727,6495,0
734,nimodipine,a0,0,7,730,6523,0
439,nitazoxanide,a0,0,2,730,6528,0
1100,nitrofurantoin,a0,9,109,721,6421,1
8,nitroglycerin,a0,134,781,596,5749,0
77,nitroprusside,a0,9,30,721,6500,1
766,n-methylscopolamine,a0,0,8,730,6522,0
295,norelgestromin,a0,0,1,730,6529,0
10,norepinephrine,a0,80,402,650,6128,0
9,norepinephrine preparation,a0,80,402,650,6128,0
878,norethindrone,a0,0,13,730,6517,0
880,norethindrone preparation,a0,0,13,730,6517,0
108,norfloxacin,a0,1,0,729,6530,2
877,nortriptyline,a0,9,63,721,6467,0
19,nystatin,a0,63,364,667,6166,0
940,octreotide,a0,11,82,719,6448,2
939,octreotide preparation,a0,11,82,719,6448,2
373,ofloxacin,a0,1,4,729,6526,2
1110,olanzapine,a0,9,110,721,6420,0
807,olmesartan,a0,3,24,727,6506,2
719,olopatadine,a0,2,15,728,6515,0
509,omalizumab,a0,0,3,730,6527,0
712,omega-3 acid ethyl ester,a0,1,10,729,6520,0
1197,omeprazole,a0,24,274,706,6256,0
630,onabotulinumtoxina,a0,1,8,729,6522,0
1299,ondansetron,a0,508,4675,222,1855,0
18,ophthalmic form aciclovir,a0,80,494,650,6036,3
79,opium,a0,9,30,721,6500,2
78,opium preparation,a0,9,30,721,6500,2
600,orphenadrine,a0,0,4,730,6526,0
957,oseltamivir,a0,2,29,728,6501,0
297,oxacillin,a0,0,1,730,6529,0
491,oxaliplatin,a0,1,6,729,6524,2
189,oxandrolone,a0,2,6,728,6524,0
187,oxandrolone preparation,a0,2,6,728,6524,0
132,oxazepam,a0,1,1,729,6529,0
927,oxcarbazepine,a0,3,31,727,6499,1
1163,oxybutynin,a0,17,181,713,6349,0
590,oxychlorosene,a0,0,4,730,6526,0
1316,oxycodone,a0,356,3872,374,2658,1
1034,oxymetazoline,a0,8,81,722,6449,0
673,oxymorphone,a0,1,9,729,6521,1
677,oxymorphone product,a0,1,9,729,6521,1
1177,oxytocin,a0,6,117,724,6413,0
1178,oxytocin preparation,a0,6,117,724,6413,0
826,paclitaxel,a0,1,15,729,6515,0
702,paliperidone,a0,0,6,730,6524,1
299,palivizumab,a0,0,1,730,6529,0
476,palonosetron,a0,1,5,729,6525,0
279,pamabrom,a0,0,1,730,6529,0
823,pamidronate,a0,1,15,729,6515,2
825,pamidronic acid,a0,1,15,729,6515,2
44,pancuronium,a0,11,26,719,6504,1
1292,pantoprazole,a0,153,1592,577,4938,0
238,papain,a0,0,1,730,6529,0
27,papaverine,a0,28,117,702,6413,0
1182,paraffin liquid,a0,5,112,725,6418,0
575,paraffin-white soft,a0,1,7,729,6523,0
460,paromomycin,a0,0,2,730,6528,0
1050,paroxetine,a0,13,119,717,6411,2
169,pazopanib,a0,1,2,729,6528,0
450,pectin,a0,0,2,730,6528,0
1314,peg-3350,a0,146,1908,584,4622,1
170,peg-400,a0,1,2,729,6528,0
71,pegaspargase,a0,3,2,727,6528,2
588,pegfilgrastim,a0,0,4,730,6526,0
204,peginterferon alfa-2a,a0,1,3,729,6527,1
194,peginterferon alpha-2a,a0,1,3,729,6527,1
351,penicillamine,a0,0,1,730,6529,2
374,penicillin g,a0,1,4,729,6526,2
1025,penicillin g potassium,a0,2,41,728,6489,2
370,penicillin g sodium,a0,1,4,729,6526,2
857,penicillin v,a0,0,12,730,6518,0
43,pentamidine,a0,8,10,722,6520,5
573,pentosan polysulfate,a0,1,7,729,6523,0
904,pentoxifylline,a0,0,14,730,6516,1
563,peppermint oil,a0,8,42,722,6488,0
592,permethrin,a0,0,4,730,6526,0
425,permixon,a0,0,2,730,6528,0
648,perphenazine,a0,0,5,730,6525,0
1056,pertussis vaccine acellular,a0,4,62,726,6468,0
431,pertuzumab,a0,0,2,730,6528,0
520,peruvian balsam,a0,0,3,730,6527,0
656,petrolatum,a0,0,5,730,6525,0
572,petrolatum  white,a0,1,7,729,6523,0
579,petrolatum white,a0,1,7,729,6523,0
818,phenazopyridine,a0,6,41,724,6489,2
817,phenazopyridine product,a0,6,41,724,6489,2
225,phenelzine,a0,0,1,730,6529,1
594,pheniramine,a0,0,4,730,6526,0
970,phenobarbital,a0,2,31,728,6499,1
1238,phenol,a0,31,390,699,6140,0
1237,phenol product,a0,31,390,699,6140,0
611,phenoxybenzamine,a0,0,4,730,6526,0
851,phenoxymethylpenicillin,a0,0,12,730,6518,0
651,phentermine,a0,0,5,730,6525,0
303,phentolamine,a0,0,1,730,6529,0
314,phenyl salicylate,a0,0,1,730,6529,0
1230,phenylephrine,a0,141,1251,589,5279,0
1095,phenytoin,a0,9,108,721,6422,1
849,phytonadione,a0,24,163,706,6367,0
848,phytonadione preparation,a0,24,163,706,6367,0
775,pilocarpine,a0,0,8,730,6522,0
470,pimecrolimus,a0,0,2,730,6528,0
881,pioglitazone,a0,5,39,725,6491,0
2,piperacillin,a0,185,880,545,5650,3
466,piperazine estrone sulfate,a0,0,2,730,6528,0
524,pirbuterol,a0,0,3,730,6527,0
200,piroxicam,a0,1,3,729,6527,2
305,pitavastatin,a0,0,1,730,6529,2
956,poloxamer,a0,3,34,727,6496,0
158,polycarbophil,a0,2,4,728,6526,0
151,polycarbophil calcium,a0,2,4,728,6526,0
1312,polyethylene glycol 3350,a0,146,1908,584,4622,1
171,polyethylene glycol 400,a0,1,2,729,6528,1
1043,polymyxin b,a0,10,96,720,6434,1
856,polysaccharide-iron complex,a0,0,12,730,6518,0
838,polyvinyl alcohol,a0,0,11,730,6519,0
829,polyvinyl alcohol product,a0,0,11,730,6519,0
429,pomalidomide,a0,0,2,730,6528,5
218,ponatinib,a0,0,1,730,6529,0
1190,porcine heparin,a0,176,1475,554,5055,0
487,posaconazole,a0,8,41,722,6489,3
1118,potassium,a0,23,211,707,6319,1
1307,potassium (as chloride),a0,466,4419,264,2111,1
640,potassium (as phosphate),a0,37,245,693,6285,1
322,potassium bicarbonate,a0,0,1,730,6529,0
1306,potassium chloride,a0,466,4419,264,2111,1
837,potassium citrate,a0,0,11,730,6519,0
668,potassium gluconate,a0,2,13,728,6517,0
230,potassium iodide,a0,0,1,730,6529,0
639,potassium phosphate,a0,37,245,693,6285,1
1117,potassium product,a0,23,211,707,6319,0
792,povidone,a0,0,9,730,6521,0
1002,pramipexole,a0,1,31,729,6499,1
106,pramlintide,a0,1,0,729,6530,0
736,pramoxine,a0,0,7,730,6523,0
918,prasugrel,a0,2,25,728,6505,0
1083,pravastatin,a0,13,132,717,6398,1
938,prazosin,a0,2,27,728,6503,0
1030,prednisolone,a0,10,93,720,6437,0
1029,prednisolone preparation,a0,10,93,720,6437,0
1207,prednisone,a0,60,564,670,5966,0
1208,prednisone preparation,a0,60,564,670,5966,0
1132,pregabalin,a0,19,186,711,6344,1
868,prilocaine,a0,3,27,727,6503,0
633,primidone,a0,1,8,729,6522,1
589,probenecid,a0,0,4,730,6526,2
387,procainamide,a0,0,2,730,6528,1
1255,prochlorperazine,a0,149,1366,581,5164,0
768,progesterone,a0,0,8,730,6522,0
776,progesterone preparation,a0,0,8,730,6522,0
1304,promethazine,a0,99,1294,631,5236,0
499,propafenone,a0,1,6,729,6524,1
216,propan-2-ol,a0,0,1,730,6529,0
1301,propofol,a0,173,1886,557,4644,2
900,propoxyphene,a0,0,14,730,6516,0
1023,propranolol,a0,19,152,711,6378,1
162,propylene glycol,a0,1,2,729,6528,0
447,propylthiouracil,a0,0,2,730,6528,2
793,protamine,a0,0,9,730,6521,0
840,protamine sulfate,a0,49,347,681,6183,0
790,protamines,a0,0,9,730,6521,0
1159,protease,a0,10,129,720,6401,0
1154,protease preparation,a0,10,129,720,6401,0
344,protriptyline,a0,0,1,730,6529,0
1129,pseudoephedrine,a0,11,127,719,6403,0
752,psyllium,a0,1,11,729,6519,0
501,purified protein derivative of tuberculin,a0,1,6,729,6524,0
595,pyrazinamide,a0,0,4,730,6526,1
891,pyridostigmine,a0,2,23,728,6507,0
406,pyridoxine,a0,0,2,730,6528,0
417,pyridoxine preparation,a0,0,2,730,6528,0
506,pyrilamine,a0,0,3,730,6527,0
401,pyrimethamine,a0,0,2,730,6528,0
1232,quetiapine,a0,9,213,721,6317,2
686,quinapril,a0,0,6,730,6524,2
332,quinidine,a0,0,1,730,6529,0
256,quinidine sulfate,a0,0,1,730,6529,0
542,quinine,a0,0,3,730,6527,2
631,rabeprazole,a0,1,8,729,6522,0
1218,racemethionine,a0,20,262,710,6268,0
866,racepinephrine,a0,3,27,727,6503,0
612,raloxifene,a0,0,4,730,6526,0
753,raltegravir,a0,1,11,729,6519,2
175,ramelteon,a0,1,2,729,6528,0
993,ramipril,a0,2,34,728,6496,2
1131,ranitidine,a0,9,115,721,6415,1
691,ranolazine,a0,0,6,730,6524,2
318,rasagiline,a0,0,1,730,6529,1
371,rasburicase,a0,1,4,729,6526,1
376,recombinant urate oxidase,a0,1,4,729,6526,0
414,red yeast rice,a0,0,2,730,6528,0
1033,regadenoson,a0,6,68,724,6462,0
1121,remifentanil,a0,2,67,728,6463,0
196,repaglinide,a0,1,3,729,6527,1
861,ribavirin,a0,4,32,726,6498,1
586,riboflavin,a0,5,26,725,6504,0
584,riboflavin preparation,a0,5,26,725,6504,0
606,rifabutin,a0,0,4,730,6526,1
362,rifampicin,a0,3,11,727,6519,2
360,rifampin,a0,3,11,727,6519,2
253,rifapentine,a0,0,1,730,6529,0
930,rifaximin,a0,21,149,709,6381,0
271,rilpivirine,a0,0,1,730,6529,0
104,riluzole,a0,1,0,729,6530,0
260,rimantadine,a0,0,1,730,6529,1
193,risedronate,a0,2,6,728,6524,1
1019,risperidone,a0,26,201,704,6329,1
987,ritonavir,a0,4,45,726,6485,0
983,rituximab,a0,4,44,726,6486,2
1021,rivaroxaban,a0,6,64,724,6466,1
336,rivastigmine,a0,0,1,730,6529,0
727,rizatriptan,a0,3,20,727,6510,0
1302,rocuronium,a0,63,984,667,5546,0
252,roflumilast,a0,0,1,730,6529,2
864,ropinirole,a0,5,38,725,6492,0
1183,ropivacaine,a0,10,148,720,6382,0
772,rosiglitazone,a0,0,8,730,6522,0
87,rosuvastatin,a0,27,151,703,6379,2
237,rotigotine,a0,0,1,730,6529,0
784,salcatonin,a0,1,13,729,6517,0
76,salicylic acid,a0,5,9,725,6521,2
229,salicylsalicylic acid,a0,0,1,730,6529,2
1219,salmeterol,a0,33,363,697,6167,0
786,salmon calcitonin,a0,1,13,729,6517,0
241,salol,a0,0,1,730,6529,0
340,salsalate,a0,0,1,730,6529,2
423,saquinavir,a0,0,2,730,6528,0
441,saw palmetto,a0,0,2,730,6528,0
445,saw palmetto extract,a0,0,2,730,6528,0
463,saxagliptin,a0,0,2,730,6528,1
286,schizandra,a0,0,1,730,6529,0
1198,scopolamine,a0,21,255,709,6275,0
208,selegiline,a0,0,1,730,6529,1
698,selenium disulfide,a0,0,6,730,6524,0
697,selenium sulfide,a0,0,6,730,6524,0
1318,senna,a0,283,3264,447,3266,0
1322,senna preparation,a0,283,3264,447,3266,0
1320,sennoside,a0,283,3264,447,3266,0
1321,sennoside a&b,a0,283,3264,447,3266,0
1319,sennosides,a0,283,3264,447,3266,0
1171,sertraline,a0,37,334,693,6196,2
289,sevelamer,a0,0,1,730,6529,0
1294,sevoflurane,a0,58,818,672,5712,0
943,sildenafil,a0,2,28,728,6502,1
267,silodosin,a0,0,1,730,6529,1
982,silver sulfadiazine,a0,4,44,726,6486,0
570,silybum marianum extract,a0,2,11,728,6519,0
1283,simethicone,a0,175,1725,555,4805,0
1253,simvastatin,a0,66,679,664,5851,2
954,sincalide,a0,1,23,729,6507,0
953,sincalide preparation,a0,1,23,729,6507,0
486,sirolimus,a0,2,9,728,6521,0
814,sitagliptin,a0,9,59,721,6471,2
350,slippery elm bark,a0,0,1,730,6529,0
717,sodium acetate,a0,49,339,681,6191,0
833,sodium acid phosphate,a0,0,11,730,6519,0
392,sodium ascorbate,a0,0,2,730,6528,0
444,sodium ascorbate preparation,a0,0,2,730,6528,0
623,sodium bicarbonate,a0,114,846,616,5684,1
832,sodium biphosphate,a0,0,11,730,6519,0
1300,sodium chloride,a0,603,5540,127,990,0
1048,sodium citrate,a0,6,72,724,6458,0
493,sodium ferric gluconate complex,a0,1,6,729,6524,0
806,sodium fluoride,a0,3,24,727,6506,0
805,sodium fluoride product,a0,3,24,727,6506,0
759,sodium gluconate,a0,48,333,682,6197,0
67,sodium hypochlorite,a0,5,8,725,6522,0
451,sodium monofluorophosphate,a0,0,2,730,6528,0
51,sodium phosphate,a0,88,599,642,5931,2
789,sodium phosphate dibasic,a0,0,9,730,6521,2
836,sodium phosphate monobasic,a0,0,11,730,6519,2
798,sodium polystyrene sulfonate,a0,8,52,722,6478,0
173,sodium sulfate,a0,1,2,729,6528,0
250,sodium tetradecyl sulfate,a0,0,1,730,6529,0
765,solifenacin,a0,0,8,730,6522,2
246,somatropin,a0,0,1,730,6529,0
404,sorafenib,a0,0,2,730,6528,2
129,sotalol,a0,9,38,721,6492,1
11,spironolactone,a0,65,349,665,6181,3
341,stannous fluoride,a0,0,1,730,6529,0
232,stannous fluoride product,a0,0,1,730,6529,0
434,stavudine,a0,0,2,730,6528,1
415,stavudine (d4t),a0,0,2,730,6528,1
1254,succinylcholine,a0,68,708,662,5822,1
1188,sucralfate,a0,5,121,725,6409,0
301,sucrose,a0,0,1,730,6529,0
206,sucrose preparation,a0,0,1,730,6529,0
422,sufentanil,a0,0,2,730,6528,0
418,sufentanil product,a0,0,2,730,6528,0
37,sulbactam,a0,25,110,705,6420,3
357,sulfacetamide,a0,0,1,730,6529,0
265,sulfadiazine,a0,0,1,730,6529,1
288,sulfadiazine product,a0,0,1,730,6529,1
1075,sulfamethoxazole,a0,53,426,677,6104,0
879,sulfasalazine,a0,0,13,730,6517,2
275,sulfisoxazole,a0,0,1,730,6529,0
545,sulindac,a0,0,3,730,6527,2
1092,sumatriptan,a0,4,74,726,6456,0
1091,sumatriptan product,a0,4,74,726,6456,0
492,sunitinib,a0,1,6,729,6524,2
32,tacrolimus,a0,40,209,690,6321,4
936,tadalafil,a0,0,17,730,6513,1
607,talc,a0,0,4,730,6526,0
783,tamoxifen,a0,1,13,729,6517,0
1125,tamsulosin,a0,29,256,701,6274,0
277,tapentadol,a0,0,1,730,6529,1
